group_id,label,severity,piezo_ch1_band00,piezo_ch1_band01,piezo_ch1_band02,piezo_ch1_band03,piezo_ch1_band04,piezo_ch1_band05,piezo_ch1_band06,piezo_ch1_band07,piezo_ch1_band08,piezo_ch1_band09,piezo_ch1_band10,piezo_ch1_band11,piezo_ch1_band12,piezo_ch1_band13,piezo_ch1_band14,piezo_ch1_band15,piezo_ch1_band16,piezo_ch1_band17,piezo_ch1_band18,piezo_ch1_band19,piezo_ch2_band00,piezo_ch2_band01,piezo_ch2_band02,piezo_ch2_band03,piezo_ch2_band04,piezo_ch2_band05,piezo_ch2_band06,piezo_ch2_band07,piezo_ch2_band08,piezo_ch2_band09,piezo_ch2_band10,piezo_ch2_band11,piezo_ch2_band12,piezo_ch2_band13,piezo_ch2_band14,piezo_ch2_band15,piezo_ch2_band16,piezo_ch2_band17,piezo_ch2_band18,piezo_ch2_band19,piezo_ch3_band00,piezo_ch3_band01,piezo_ch3_band02,piezo_ch3_band03,piezo_ch3_band04,piezo_ch3_band05,piezo_ch3_band06,piezo_ch3_band07,piezo_ch3_band08,piezo_ch3_band09,piezo_ch3_band10,piezo_ch3_band11,piezo_ch3_band12,piezo_ch3_band13,piezo_ch3_band14,piezo_ch3_band15,piezo_ch3_band16,piezo_ch3_band17,piezo_ch3_band18,piezo_ch3_band19
Piezo_partial_cavitation_motor50_base,partial_cavitation,motor_50,37497032.66,46728303.8,339231047.9,45517331.01,49485708.29,41641617.76,33197161.96,232546132,34195090.3,42242175.02,59951271.7,36873088.19,342924231.4,35549454.23,39492733.23,57242543.23,23492083.11,337055363.2,20850844.62,54924844.58,112499603.7,78798549.81,1261886538,110853774.3,149974984.2,114297853.8,114829155.7,602268144.2,80073775.35,135592049,184396790.6,129853320.7,1557865533,97978289.91,106768343.7,201809556.6,116600060.4,1446577887,94248313.7,141833116.3,7741971451,5373483168,1.68312E+11,5709866285,18040919971,11507628988,4853477141,49604429300,4732390339,11715937779,18254112238,5773793410,1.6816E+11,5493889363,7546595971,22079913111,6733825843,1.19997E+11,5485751436,5810716445
Piezo_partial_cavitation_motor50_base,partial_cavitation,motor_50,11711282711,9083281290,8090083636,7878496347,7075638485,10676941417,1008318611,4920367069,3206890736,5119471755,5664641584,3346854694,3255499968,10449022408,2085160007,1576052436,533856960,2193568822,701320562.2,1336949328,1398753645,1164017351,862550539.8,749234260.9,911254000.2,7869712691,1357362579,1801179340,714671358.5,545327326,683650575.3,996459278.3,5891049549,901000392,499431090.4,460855754.2,387327190.2,492224238.6,4856792782,597568610.2,24104033479,27895980337,22794929485,31706358951,41293076726,17549933659,20120614756,1.18031E+11,21207205682,17598292179,40570034306,32276862571,23710687238,28070701732,23932046399,15372813048,22688791461,33292825522,24417718887,21267063545
Piezo_partial_cavitation_motor50_base,partial_cavitation,motor_50,58741653.92,61606213.16,65578725.21,61467777.04,47392674.95,151431624.8,111911846.1,114193775,69848289.11,73383639.8,62601777.42,60193115.63,52286810.37,59777741.41,62330631.19,50862809.23,55884498.42,51075574.44,46675165.62,42575060.87,1407241533,1251277788,597288913,1105693630,542178010.3,3549337919,2572561156,992360881.7,586736152.4,971183563.3,513910440.1,1206187166,4219016136,857771115,476781777.3,721738575.4,549286288.6,669731998.8,2731459244,590986589.9,14023869118,25155787258,22115279730,19745242939,18988181539,32744496879,22608668909,35661998526,21710359941,33990530784,19095314558,19580293962,22585861938,25186857355,13948975110,17374471707,13661944812,23184972990,14217876239,14871804599
Piezo_partial_cavitation_motor50_base,partial_cavitation,motor_50,2660931081,2662806248,2368983437,1887975863,1562202191,1499618834,1085828606,650304188.7,665003560,606258808.8,732432786.8,227566332.3,327188183.2,224986905.4,473011440,157749115.6,197217132.2,439143365,550360537.6,634721776.5,1779699797,896046132.8,908326261.6,530932642.3,905017732.3,6094769089,1534381326,1226081159,560297649.6,668713241.3,448433268.4,863498330.5,5501956973,791148392.5,499850377.5,481587477.4,417915173.3,555664002.8,4183563672,465748345.7,18372799039,15737492035,24256659795,19056077059,19703355508,20175807740,36560699135,34703392738,36206187485,20093560078,19793027293,18121406443,25017570724,15693444438,18136928609,17346448142,11206699983,17474697581,14416531067,15529506802
Piezo_partial_cavitation_motor50_base,partial_cavitation,motor_50,125128587.2,111066511.3,189827204.3,179899771.7,110792230.5,290978606.5,119027699.1,112899776,134758844.6,134208648.4,85070237.53,75974124.7,119311632.2,96073065.54,79633172.34,127689655.3,95717953.52,81232296.86,173007904.3,111925082.1,796494831.6,748353114.2,846499854.8,644491709.8,483722450.4,7681323302,2094055844,545720220.5,493942693.9,545949105.5,470609464.2,767347828.8,6171071017,511440201.7,525906640.2,576324753.5,570365729.7,427895776.6,4919503757,853317579.4,27536014538,27807142083,47761606240,36830241622,27588076671,48723600218,38208784408,31585065598,39148198144,48514879805,28223862861,36530154899,47758717478,28004421947,27783904371,34922049129,24648045150,31833319398,37678605399,36807695960
Piezo_partial_cavitation_motor50_base,partial_cavitation,motor_50,94748307.53,155102645.5,337056185.5,145717016,121486965.1,193737947.7,61544942.37,125580359.2,74325658.18,139185791.3,92091261.69,93637005.87,132576121.5,87068686.93,105887363.4,75264916.55,78753800.02,92037872.1,165745239.2,96131769.8,803175550.2,990547599.8,1064773322,437218366.9,537222699.6,9117528819,1088579969,463616461.3,490939687.2,569889417.7,562785721.6,453679298.6,6536677984,380597706.4,509495870.6,484428421.9,419415928.1,670541782.3,4295357092,462074254.6,25330919666,28015550661,55750038199,31840355739,26171200697,36179353175,14018621739,24799257928,13735194563,35337662294,27010831870,32047480673,54958452915,26938494916,26655975563,19444256941,20064550982,26170809080,45113744263,28542946625
Piezo_partial_cavitation_motor100_base,partial_cavitation,motor_100,289269277.8,972411448.7,493331679.4,224547542.9,122151391.3,61404444.59,78871686.8,112899962,579740925.5,1450027454,175967839.8,78831737.82,82242803.96,101606420.1,70013256.08,105286887.2,6224746818,7454299659,91710316.45,49605267.59,438516404.1,997994216.1,626147209.9,312075263.8,179002002.1,118222425.2,171524897.9,177605916.1,1383579187,2887789250,298537272.6,138080126.2,166293833.8,150353844.3,131429658.2,195187889.9,2406500338,2400972092,212421958.1,112709550.6,51855783537,1.5498E+11,83837977459,37456641853,17373016682,5330881311,13689093336,18034319439,2.5274E+11,5.22877E+11,40295135575,13132762858,14242487739,13702523245,9269046803,18308069927,3.43067E+11,3.86841E+11,26556997961,12636520937
Piezo_partial_cavitation_motor100_base,partial_cavitation,motor_100,420960841.4,470429544.3,421391042.7,263739376.7,228709042.5,599021293.8,548853242.8,462492540.8,407670278.8,283186165,249783551.1,278133149.5,564261182.4,359746304.7,414542853.5,814931428,1013269040,3527202620,3519637364,1033456476,610604697.7,545390223.5,527737841.6,383025375.2,391889861.4,1200844553,887390292.6,670380516.3,784418947.5,437516996.3,527233591.4,414914347.6,582901302.7,321620276.4,326070860.9,534389230.5,623492567.7,1562499080,1690163846,489871605.3,64687894612,78476228455,70948469811,46323790854,62543866867,1.1172E+11,1.38708E+11,98783147471,1.52405E+11,68093481121,86742436623,65912455048,68952524655,36426302817,39927560666,76078242834,88857767974,2.08995E+11,2.11442E+11,64244694129
Piezo_partial_cavitation_motor100_base,partial_cavitation,motor_100,258239401.4,337388256,472502345,222336294.3,306465800.2,261265297.9,332391424.4,390166919.4,628426464.3,524992606.2,177141832.4,300957587.9,387160772.2,299130878.5,343894373.8,612717335.4,1264693671,5569868800,1945109610,708295418.7,372696646.9,474226562.5,588915931.4,399754242.9,421486107.2,427177492.3,530391349.3,539798239.1,1244496461,858328550.7,421572875.1,328576155,539172755.5,298844621.5,281246163.1,392182425.2,988198644.2,2072282019,1044077554,343168868.5,35113881389,65637834574,75603826646,43250345390,69104328672,58617848938,68674148461,88137229721,2.26898E+11,1.64376E+11,65226115630,42597364659,62888307237,37016261808,33420517094,54732103179,1.45349E+11,2.99557E+11,1.21657E+11,37630737697
Piezo_partial_cavitation_motor100_base,partial_cavitation,motor_100,298974823.6,600841139.2,530612054,204418666.9,233234445.6,454815132.7,477462681.2,396989346.1,355711484.6,641248938.2,176770397.7,361736951.3,610698674.3,328927621.1,479617126.7,415027397.7,1252613805,3965373783,2855192010,749122487.5,494964208.7,645221215.5,624678889.3,322189461,373290064.8,735514830,753428724,618365296.7,665996533.2,1047922925,335205518.5,354739478.3,573795793.4,400423935.6,385679691.3,297003624,778344181,1726939523,1263189175,405202211.6,60043759460,91136381908,92099038978,35552303541,48192688087,1.06657E+11,92315265998,94999619835,1.31057E+11,1.76115E+11,53359660773,54422651584,76332216972,41366263476,41725087363,39877258351,1.14252E+11,2.37808E+11,1.72809E+11,56191241942
